"id"	"geneNum"	"description"	"BaiduTrans"	"gene"
"110330"	"1"	"Recognition and association of DNA glycosylase with site containing an affected purine"	"DNA糖化酶与受影响嘌呤位点的识别和结合"	"YML060W"
"110331"	"1"	"Cleavage of the damaged purine"	"受损嘌呤的裂解"	"YML060W"
"111457"	"8"	"Release of apoptotic factors from the mitochondria"	"线粒体释放凋亡因子"	"YDL225W,YDR218C,YEL039C,YGR059W,YHR107C,YJR048W,YJR076C,YLR314C"
"111471"	"8"	"Apoptotic factor-mediated response"	"凋亡因子介导的反应"	"YDL225W,YDR218C,YEL039C,YGR059W,YHR107C,YJR048W,YJR076C,YLR314C"
"111885"	"13"	"Opioid Signalling"	"阿片信号"	"YBL016W,YBR109C,YER020W,YGL179C,YIL033C,YJL164C,YKL166C,YMR006C,YMR008C,YNL012W,YOL011W,YPL203W,YPL268W"
"111931"	"4"	"PKA-mediated phosphorylation of CREB"	"PKA介导的CREB磷酸化"	"YIL033C,YJL164C,YKL166C,YPL203W"
"111932"	"2"	"CaMK IV-mediated phosphorylation of CREB"	"CaMK-IV介导的CREB磷酸化"	"YBR109C,YGL179C"
"111933"	"6"	"Calmodulin induced events"	"钙调素诱发事件"	"YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YPL203W"
"111995"	"5"	"phospho-PLA2 pathway"	"磷酸-PLA2途径"	"YBL016W,YMR006C,YMR008C,YNL012W,YOL011W"
"111996"	"11"	"Ca-dependent events"	"Ca依赖事件"	"YBL016W,YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YMR006C,YMR008C,YNL012W,YOL011W,YPL203W"
"111997"	"6"	"CaM pathway"	"凸轮通路"	"YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YPL203W"
"112040"	"13"	"G-protein mediated events"	"G蛋白介导的事件"	"YBL016W,YBR109C,YER020W,YGL179C,YIL033C,YJL164C,YKL166C,YMR006C,YMR008C,YNL012W,YOL011W,YPL203W,YPL268W"
"112043"	"13"	"PLC beta mediated events"	"PLCβ介导事件"	"YBL016W,YBR109C,YER020W,YGL179C,YIL033C,YJL164C,YKL166C,YMR006C,YMR008C,YNL012W,YOL011W,YPL203W,YPL268W"
"112310"	"4"	"Neurotransmitter release cycle"	"神经递质释放周期"	"YBR006W,YGR019W,YJR001W,YML042W"
"112311"	"1"	"Neurotransmitter clearance"	"神经递质清除"	"YER073W"
"112313"	"1"	"Neurotransmitter uptake and metabolism In glial cells"	"神经胶质细胞的神经递质摄取和代谢"	"YPR035W"
"112314"	"7"	"Neurotransmitter receptors and postsynaptic signal transmission"	"神经递质受体与突触后信号传递"	"YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YLR248W,YPL203W"
"112315"	"13"	"Transmission across Chemical Synapses"	"化学突触间的传递"	"YBR006W,YBR109C,YER073W,YGL179C,YGR019W,YIL033C,YJL164C,YJR001W,YKL166C,YLR248W,YML042W,YPL203W,YPR035W"
"112316"	"14"	"Neuronal System"	"神经系统"	"YBR006W,YBR109C,YER073W,YGL179C,YGR019W,YIL033C,YJL093C,YJL164C,YJR001W,YKL166C,YLR248W,YML042W,YPL203W,YPR035W"
"112399"	"3"	"IRS-mediated signalling"	"IRS介导的信号传递"	"YHR205W,YKL126W,YOL100W"
"112409"	"6"	"RAF-independent MAPK1/3 activation"	"RAF非依赖性MAPK1/3激活"	"YBL016W,YDL159W,YGR040W,YHR030C,YIL113W,YNL053W"
"112411"	"2"	"MAPK1 (ERK2) activation"	"MAPK1（ERK2）激活"	"YBL016W,YDL159W"
"113418"	"29"	"Formation of the Early Elongation Complex"	"早期伸长复合体的形成"	"YBR154C,YDL108W,YDL140C,YDR079C-A,YDR311W,YDR404C,YDR460W,YER171W,YGL070C,YGR005C,YGR063C,YGR186W,YHR143W-A,YIL021W,YIL143C,YJL140W,YLR005W,YML010W,YMR125W,YMR277W,YOL005C,YOR151C,YOR210W,YOR224C,YPL122C,YPL178W,YPR025C,YPR056W,YPR187W"
"113501"	"4"	"Inhibition of replication initiation of damaged DNA by RB1/E2F1"	"RB1/E2F1对受损DNA复制起始的抑制作用"	"YBL035C,YIR008C,YKL045W,YNL102W"
"113510"	"4"	"E2F mediated regulation of DNA replication"	"E2F介导的DNA复制调控"	"YBL035C,YIR008C,YKL045W,YNL102W"
"114508"	"3"	"Effects of PIP2 hydrolysis"	"PIP2水解的影响"	"YBL105C,YBR204C,YKL094W"
"114516"	"4"	"Disinhibition of SNARE formation"	"陷阱形成解除抑制"	"YBL105C,YDR164C,YMR183C,YPL232W"
"114604"	"1"	"GPVI-mediated activation cascade"	"GPVI介导的激活级联"	"YOL100W"
"114608"	"15"	"Platelet degranulation "	"血小板脱颗粒"	"YBR025C,YBR109C,YDR164C,YDR168W,YDR288W,YFL039C,YIL043C,YJR104C,YKL209C,YML085C,YML124C,YMR092C,YMR197C,YNL233W,YPR031W"
"1168372"	"2"	"Downstream signaling events of B Cell Receptor (BCR)"	"B细胞受体（BCR）下游信号事件"	"YBL105C,YNL135C"
"1169091"	"1"	"Activation of NF-kappaB in B cells"	"B细胞中NF-κB的激活"	"YBL105C"
"1222556"	"15"	"ROS and RNS production in phagocytes"	"吞噬细胞中ROS和RNS的产生"	"YBR127C,YCL005W-A,YDL185W,YEL027W,YEL051W,YGR020C,YHR026W,YHR039C-A,YHR042W,YKL080W,YLR447C,YMR054W,YOR270C,YOR332W,YPR036W"
"1227986"	"5"	"Signaling by ERBB2"	"ERBB2信令"	"YDR069C,YER144C,YHR205W,YJL197W,YKL126W"
"1236975"	"33"	"Antigen processing-Cross presentation"	"抗原处理交叉呈递"	"YBL041W,YDL007W,YDL097C,YDL147W,YDR394W,YDR427W,YER012W,YER021W,YER094C,YFL007W,YFR004W,YFR050C,YFR052W,YGL011C,YGL048C,YGR135W,YGR253C,YHR027C,YHR200W,YIL007C,YIL075C,YJL001W,YKL145W,YML092C,YMR314W,YOL038W,YOR117W,YOR157C,YOR259C,YOR261C,YOR362C,YPR103W,YPR108W"
"1236978"	"33"	"Cross-presentation of soluble exogenous antigens (endosomes)"	"可溶性外源性抗原（内体）的交叉呈递"	"YBL041W,YDL007W,YDL097C,YDL147W,YDR394W,YDR427W,YER012W,YER021W,YER094C,YFL007W,YFR004W,YFR050C,YFR052W,YGL011C,YGL048C,YGR135W,YGR253C,YHR027C,YHR200W,YIL007C,YIL075C,YJL001W,YKL145W,YML092C,YMR314W,YOL038W,YOR117W,YOR157C,YOR259C,YOR261C,YOR362C,YPR103W,YPR108W"
"1237112"	"4"	"Methionine salvage pathway"	"蛋氨酸补救途径"	"YEL038W,YLR017W,YMR009W,YPR118W"
"1257604"	"58"	"PIP3 activates AKT signaling"	"PIP3激活AKT信号"	"YBL041W,YBR028C,YBR058C,YBR270C,YDL007W,YDL097C,YDL147W,YDR005C,YDR208W,YDR394W,YDR427W,YER012W,YER021W,YER093C,YER094C,YER125W,YFL007W,YFR004W,YFR050C,YFR052W,YGL011C,YGL048C,YGR135W,YGR232W,YGR253C,YHR027C,YHR200W,YHR205W,YIL007C,YIL035C,YIL075C,YIL148W,YJL001W,YJL058C,YKL126W,YKL145W,YKL203C,YKR094C,YLR167W,YML092C,YMR233W,YMR304W,YMR314W,YNL006W,YNL128W,YOL038W,YOL078W,YOL100W,YOR039W,YOR061W,YOR117W,YOR157C,YOR259C,YOR261C,YOR295W,YOR362C,YPR103W,YPR108W"
"1266738"	"15"	"Developmental Biology"	"发育生物学"	"YBL016W,YBL037W,YBR028C,YBR182C,YDL159W,YGL206C,YGR040W,YGR167W,YHR030C,YJR005W,YJR058C,YKL135C,YLR113W,YOL062C,YPL089C"
"1268020"	"14"	"Mitochondrial protein import"	"线粒体蛋白输入"	"YBL030C,YBR085W,YDL120W,YDL217C,YDR430C,YEL020W-A,YGL018C,YHR005C-A,YJL088W,YJL143W,YLR259C,YMR056C,YNR017W,YPR140W"
"1280215"	"58"	"Cytokine Signaling in Immune system"	"免疫系统中的细胞因子信号转导"	"YBL009W,YBL016W,YBL041W,YBR028C,YCR073C,YDL007W,YDL097C,YDL147W,YDL159W,YDR092W,YDR394W,YDR427W,YEL009C,YER012W,YER021W,YER045C,YER094C,YFL007W,YFR004W,YFR050C,YFR052W,YGL011C,YGL021W,YGL048C,YGL087C,YGR040W,YGR135W,YGR253C,YHR027C,YHR030C,YHR200W,YIL007C,YIL036W,YIL075C,YIL113W,YIL148W,YJL001W,YJL128C,YKL145W,YKL171W,YKR094C,YLR113W,YLR167W,YML092C,YMR314W,YNL053W,YNL167C,YOL038W,YOR117W,YOR157C,YOR231W,YOR259C,YOR261C,YOR362C,YPL140C,YPR054W,YPR103W,YPR108W"
"1280218"	"127"	"Adaptive Immune System"	"适应性免疫系统"	"YAL024C,YAL040C,YBL041W,YBL084C,YBL105C,YBR082C,YBR270C,YCL057W,YCR038C,YCR072C,YCR073C,YDL007W,YDL008W,YDL097C,YDL132W,YDL147W,YDL190C,YDR054C,YDR059C,YDR092W,YDR118W,YDR177W,YDR216W,YDR328C,YDR394W,YDR427W,YDR457W,YEL012W,YER012W,YER021W,YER093C,YER094C,YER100W,YER125W,YFL007W,YFR004W,YFR050C,YFR052W,YGL003C,YGL011C,YGL048C,YGL058W,YGL087C,YGL116W,YGL141W,YGL240W,YGR003W,YGR108W,YGR109C,YGR135W,YGR152C,YGR184C,YGR253C,YHL007C,YHR027C,YHR047C,YHR098C,YHR166C,YHR171W,YHR200W,YHR205W,YIL007C,YIL075C,YIL109C,YIL137C,YIL148W,YIL169C,YIR033W,YJL001W,YJL058C,YJR141W,YKL010C,YKL020C,YKL022C,YKL059C,YKL126W,YKL145W,YKL157W,YKL203C,YKL210W,YKL213C,YKR017C,YKR094C,YLR024C,YLR097C,YLR127C,YLR167W,YLR229C,YLR306W,YLR310C,YML068W,YML088W,YML092C,YMR022W,YMR199W,YMR247C,YMR314W,YNL006W,YNL049C,YNL128W,YNL135C,YNL172W,YNL298W,YNR031C,YOL038W,YOL078W,YOL100W,YOL113W,YOL133W,YOL155C,YOR117W,YOR157C,YOR249C,YOR259C,YOR261C,YOR339C,YOR362C,YPL046C,YPL154C,YPL218W,YPL256C,YPR066W,YPR103W,YPR108W,YPR119W,YPR120C,YPR181C"
"1296071"	"1"	"Potassium Channels"	"钾通道"	"YJL093C"
"1296346"	"1"	"Tandem pore domain potassium channels"	"串联孔域钾通道"	"YJL093C"
"1299287"	"1"	"Tandem pore domain halothane-inhibited K+ channel (THIK)"	"串联孔结构域氟烷抑制K+通道（THIK）"	"YJL093C"
"1299308"	"1"	"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)"	"弱内向整流钾通道（TWIK）中的孔域串联"	"YJL093C"
"1299316"	"1"	"TWIK-releated acid-sensitive K+ channel (TASK)"	"TWIK释放的酸敏感钾通道（任务）"	"YJL093C"
"1299344"	"1"	"TWIK-related spinal cord K+ channel (TRESK)"	"TWIK相关脊髓K+通道（TRESK）"	"YJL093C"
"1299361"	"1"	"TWIK-related alkaline pH activated K+ channel (TALK)"	"TWIK相关碱性pH激活的K+通道（谈话）"	"YJL093C"
"1299503"	"1"	"TWIK related potassium channel (TREK)"	"TWIK相关钾通道（TREK）"	"YJL093C"
"1358803"	"5"	"Downregulation of ERBB2:ERBB3 signaling"	"ERBB2:ERBB3信号的下调"	"YDR069C,YER144C,YHR205W,YJL197W,YKL126W"
"1362409"	"10"	"Mitochondrial iron-sulfur cluster biogenesis"	"线粒体铁硫簇生物发生"	"YCL017C,YDL120W,YDR376W,YER048W-A,YGL018C,YLL027W,YPL059W,YPL135W,YPL252C,YPR067W"
"1369007"	"1"	"Mitochondrial ABC transporters"	"线粒体ABC转运蛋白"	"YMR301C"
"1369062"	"4"	"ABC transporters in lipid homeostasis"	"脂稳态中的ABC转运蛋白"	"YDL065C,YDR329C,YKL188C,YPL147W"
"140342"	"5"	"Apoptosis induced DNA fragmentation"	"凋亡诱导的DNA断裂"	"YBR089C-A,YDL002C,YDR174W,YKL032C,YMR072W"
"141405"	"5"	"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components"	"有丝分裂纺锤体检查点成分对后期开始所需APC/C蛋白水解活性的抑制"	"YGL116W,YGR188C,YJL013C,YJL030W,YOR026W"
"141430"	"5"	"Inactivation of APC/C via direct inhibition of the APC/C complex"	"通过直接抑制APC/C复合物使APC/C失活"	"YGL116W,YGR188C,YJL013C,YJL030W,YOR026W"
"1428517"	"52"	"The citric acid (TCA) cycle and respiratory electron transport"	"柠檬酸循环与呼吸电子传递"	"Q0085,Q0105,Q0130,YBL045C,YBL099W,YBR039W,YBR221C,YDL004W,YDL178W,YDR148C,YDR298C,YDR529C,YEL024W,YEL039C,YER178W,YFL018C,YFR033C,YGR183C,YGR207C,YGR244C,YHR024C,YIL114C,YIL125W,YJL166W,YJL172W,YJR048W,YJR090C,YJR121W,YKL016C,YKL085W,YKL141W,YKL148C,YLL041C,YLR163C,YLR304C,YML004C,YNL037C,YNL055C,YNL071W,YNL168C,YNR001C,YOR040W,YOR065W,YOR136W,YOR142W,YOR297C,YOR356W,YPL078C,YPL262W,YPL271W,YPR004C,YPR020W"
"1430728"	"448"	"Metabolism"	"新陈代谢"	"Q0085,Q0105,Q0130,YAL012W,YAL038W,YAL044C,YAL054C,YAR042W,YBL039C,YBL045C,YBL068W,YBL098W,YBL099W,YBL105C,YBR003W,YBR011C,YBR019C,YBR026C,YBR029C,YBR035C,YBR039W,YBR042C,YBR084W,YBR097W,YBR104W,YBR109C,YBR111C,YBR177C,YBR196C,YBR221C,YBR241C,YBR252W,YBR263W,YBR265W,YBR284W,YBR291C,YCL017C,YCL040W,YCL064C,YCR012W,YCR026C,YCR036W,YDL004W,YDL015C,YDL019C,YDL022W,YDL045C,YDL052C,YDL066W,YDL114W,YDL120W,YDL137W,YDL141W,YDL142C,YDL166C,YDL168W,YDL178W,YDL192W,YDL205C,YDL238C,YDL246C,YDR017C,YDR018C,YDR019C,YDR020C,YDR036C,YDR044W,YDR047W,YDR050C,YDR058C,YDR071C,YDR105C,YDR111C,YDR125C,YDR135C,YDR140W,YDR147W,YDR148C,YDR173C,YDR208W,YDR226W,YDR232W,YDR236C,YDR284C,YDR287W,YDR294C,YDR298C,YDR315C,YDR319C,YDR376W,YDR422C,YDR454C,YDR465C,YDR477W,YDR481C,YDR502C,YDR503C,YDR516C,YDR529C,YEL011W,YEL016C,YEL020C,YEL024W,YEL029C,YEL038W,YEL039C,YER005W,YER014W,YER015W,YER019W,YER020W,YER023W,YER027C,YER043C,YER048W-A,YER054C,YER069W,YER073W,YER099C,YER141W,YER163C,YER170W,YER178W,YER183C,YFL018C,YFR015C,YFR033C,YFR044C,YFR047C,YFR053C,YGL001C,YGL018C,YGL040C,YGL062W,YGL067W,YGL104C,YGL115W,YGL125W,YGL126W,YGL156W,YGL205W,YGL208W,YGL234W,YGL253W,YGR007W,YGR010W,YGR015C,YGR037C,YGR060W,YGR061C,YGR096W,YGR110W,YGR124W,YGR152C,YGR155W,YGR175C,YGR183C,YGR192C,YGR194C,YGR202C,YGR204W,YGR207C,YGR208W,YGR240C,YGR244C,YGR254W,YGR263C,YGR267C,YGR277C,YGR281W,YHL003C,YHL011C,YHL018W,YHL021C,YHL032C,YHL035C,YHR001W,YHR002W,YHR007C,YHR018C,YHR024C,YHR042W,YHR046C,YHR072W,YHR073W,YHR074W,YHR111W,YHR123W,YHR144C,YHR146W,YHR163W,YHR174W,YHR183W,YHR190W,YHR205W,YHR208W,YHR216W,YIL002C,YIL009W,YIL033C,YIL043C,YIL045W,YIL049W,YIL083C,YIL114C,YIL125W,YIL134W,YIL155C,YIL160C,YJL046W,YJL052W,YJL054W,YJL060W,YJL068C,YJL070C,YJL088W,YJL097W,YJL100W,YJL121C,YJL130C,YJL134W,YJL137C,YJL146W,YJL153C,YJL155C,YJL163C,YJL164C,YJL166W,YJL167W,YJL172W,YJR009C,YJR019C,YJR025C,YJR048W,YJR049C,YJR069C,YJR073C,YJR078W,YJR090C,YJR103W,YJR105W,YJR109C,YJR110W,YJR121W,YJR126C,YJR148W,YJR154W,YJR159W,YKL001C,YKL008C,YKL016C,YKL024C,YKL033W-A,YKL035W,YKL067W,YKL085W,YKL088W,YKL094W,YKL106W,YKL117W,YKL126W,YKL127W,YKL141W,YKL148C,YKL151C,YKL166C,YKL181W,YKL184W,YKL212W,YKL215C,YKL218C,YKR009C,YKR031C,YKR053C,YKR058W,YLL015W,YLL027W,YLL041C,YLL048C,YLR017W,YLR027C,YLR056W,YLR058C,YLR070C,YLR089C,YLR099C,YLR118C,YLR133W,YLR142W,YLR153C,YLR163C,YLR180W,YLR189C,YLR209C,YLR231C,YLR240W,YLR242C,YLR245C,YLR246W,YLR258W,YLR260W,YLR273C,YLR299W,YLR304C,YLR305C,YLR328W,YLR345W,YLR348C,YLR354C,YLR359W,YLR377C,YLR410W,YLR426W,YLR432W,YLR438W,YLR446W,YML004C,YML022W,YML035C,YML042W,YML054C,YML056C,YML059C,YML070W,YML075C,YML126C,YMR006C,YMR008C,YMR009W,YMR110C,YMR120C,YMR165C,YMR186W,YMR189W,YMR205C,YMR208W,YMR210W,YMR217W,YMR246W,YMR267W,YMR272C,YMR278W,YMR323W,YNL012W,YNL037C,YNL045W,YNL055C,YNL071W,YNL092W,YNL106C,YNL111C,YNL128W,YNL129W,YNL130C,YNL168C,YNL173C,YNL200C,YNL202W,YNL220W,YNL241C,YNL267W,YNL280C,YNR001C,YNR012W,YNR016C,YNR041C,YNR043W,YNR046W,YNR050C,YOL011W,YOL049W,YOL052C,YOL059W,YOL061W,YOL065C,YOL096C,YOL136C,YOR022C,YOR040W,YOR065W,YOR074C,YOR095C,YOR100C,YOR109W,YOR130C,YOR136W,YOR142W,YOR143C,YOR163W,YOR171C,YOR175C,YOR176W,YOR178C,YOR184W,YOR196C,YOR237W,YOR241W,YOR245C,YOR251C,YOR256C,YOR278W,YOR297C,YOR298W,YOR317W,YOR320C,YOR323C,YOR347C,YOR356W,YOR374W,YOR393W,YPL033C,YPL059W,YPL061W,YPL069C,YPL078C,YPL087W,YPL091W,YPL095C,YPL111W,YPL113C,YPL117C,YPL135W,YPL145C,YPL147W,YPL172C,YPL176C,YPL203W,YPL240C,YPL252C,YPL262W,YPL268W,YPL271W,YPL281C,YPR003C,YPR004C,YPR020W,YPR021C,YPR035W,YPR058W,YPR067W,YPR069C,YPR113W,YPR118W,YPR140W,YPR145W,YPR160W,YPR184W,YPR193C"
"1474151"	"7"	"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"	"四氢生物蝶呤（BH4）的合成、回收、回收和调控"	"YBR109C,YGR267C,YHR042W,YHR205W,YKL126W,YMR186W,YPL240C"
"1482788"	"5"	"Acyl chain remodelling of PC"	"PC的酰基链重构"	"YMR006C,YMR008C,YNL012W,YOL011W,YOR175C"
"1482798"	"6"	"Acyl chain remodeling of CL"	"氯的酰基链重构"	"YBR042C,YMR006C,YMR008C,YNL012W,YOL011W,YPR140W"
"1482801"	"8"	"Acyl chain remodelling of PS"	"聚苯乙烯的酰基链重构"	"YHR001W,YMR006C,YMR008C,YNL012W,YOL011W,YOR175C,YOR237W,YPL145C"
"1482839"	"9"	"Acyl chain remodelling of PE"	"聚乙烯的酰基链重构"	"YDR125C,YGR015C,YGR110W,YLR099C,YMR006C,YMR008C,YNL012W,YOL011W,YOR175C"
"1482883"	"2"	"Acyl chain remodeling of DAG and TAG"	"DAG和TAG的酰基链重构"	"YKL094W,YOR245C"
"1482922"	"5"	"Acyl chain remodelling of PI"	"PI的酰基链重构"	"YMR006C,YMR008C,YNL012W,YOL011W,YOR175C"
"1482925"	"7"	"Acyl chain remodelling of PG"	"PG的酰基链重构"	"YBR042C,YDL142C,YDR018C,YMR006C,YMR008C,YNL012W,YOL011W"
"1483076"	"1"	"Synthesis of CL"	"氯的合成"	"YDL142C"
"1483115"	"5"	"Hydrolysis of LPC"	"LPC水解"	"YDR058C,YMR006C,YMR008C,YNL012W,YOL011W"
"1483148"	"1"	"Synthesis of PG"	"PG的合成"	"YBR029C"
"1483152"	"4"	"Hydrolysis of LPE"	"LPE水解"	"YMR006C,YMR008C,YNL012W,YOL011W"
"1483166"	"13"	"Synthesis of PA"	"PA的合成"	"YBR042C,YDL022W,YDL052C,YDR481C,YIL155C,YKR031C,YMR006C,YMR008C,YNL012W,YOL011W,YOL059W,YOR022C,YOR298W"
"1483191"	"11"	"Synthesis of PC"	"聚碳酸酯的合成"	"YBR177C,YDR147W,YGR202C,YHR123W,YJR073C,YLR133W,YML042W,YMR165C,YMR210W,YNL130C,YPL095C"
"1483206"	"44"	"Glycerophospholipid biosynthesis"	"甘油磷脂生物合成"	"YBR029C,YBR042C,YBR177C,YDL022W,YDL052C,YDL142C,YDR018C,YDR058C,YDR125C,YDR147W,YDR481C,YGR007W,YGR015C,YGR110W,YGR202C,YHR001W,YHR123W,YIL155C,YJL054W,YJR073C,YKL094W,YKR031C,YLR099C,YLR133W,YLR260W,YML042W,YMR006C,YMR008C,YMR165C,YMR210W,YNL012W,YNL130C,YOL011W,YOL059W,YOR022C,YOR171C,YOR175C,YOR237W,YOR245C,YOR298W,YPL095C,YPL145C,YPR113W,YPR140W"
"1483213"	"6"	"Synthesis of PE"	"聚乙烯的合成"	"YDR147W,YGR007W,YHR123W,YLR133W,YMR165C,YNL130C"
"1483226"	"3"	"Synthesis of PI"	"PI的合成"	"YBR029C,YOR022C,YPR113W"
"1483248"	"4"	"Synthesis of PIPs at the ER membrane"	"ER膜上PIPs的合成"	"YJL100W,YJR110W,YKL212W,YLR305C"
"1483249"	"12"	"Inositol phosphate metabolism"	"磷酸肌醇代谢"	"YDR017C,YDR173C,YDR287W,YDR315C,YHR046C,YJL153C,YLR410W,YNL106C,YNL128W,YOL065C,YOR163W,YPL268W"
"1483255"	"18"	"PI Metabolism"	"PI代谢"	"YBR097W,YCR026C,YDL137W,YDL192W,YDR208W,YEL016C,YIL002C,YJL100W,YJR110W,YKL212W,YLR240W,YLR305C,YML059C,YNL106C,YNL128W,YNL267W,YOL065C,YOR109W"
"1483257"	"62"	"Phospholipid metabolism"	"磷脂代谢"	"YBR029C,YBR042C,YBR097W,YBR177C,YCR026C,YDL022W,YDL052C,YDL137W,YDL142C,YDL192W,YDR018C,YDR058C,YDR125C,YDR147W,YDR208W,YDR481C,YEL016C,YGR007W,YGR015C,YGR110W,YGR202C,YHR001W,YHR123W,YIL002C,YIL155C,YJL054W,YJL100W,YJR073C,YJR110W,YKL094W,YKL212W,YKR031C,YLR099C,YLR133W,YLR240W,YLR260W,YLR305C,YML042W,YML059C,YMR006C,YMR008C,YMR165C,YMR210W,YNL012W,YNL106C,YNL128W,YNL130C,YNL267W,YOL011W,YOL059W,YOL065C,YOR022C,YOR109W,YOR171C,YOR175C,YOR237W,YOR245C,YOR298W,YPL095C,YPL145C,YPR113W,YPR140W"
"1489509"	"7"	"DAG and IP3 signaling"	"DAG和IP3信号"	"YBL105C,YBR109C,YGL179C,YIL033C,YJL164C,YKL166C,YPL203W"
"156580"	"15"	"Phase II - Conjugation of compounds"	"第二阶段-化合物的共轭"	"YDR140W,YDR502C,YER043C,YER163C,YFR044C,YJL068C,YKL001C,YKL035W,YKL215C,YLR180W,YLR189C,YLR299W,YNR046W,YOL049W,YPR003C"
"156581"	"5"	"Methylation"	"甲基化"	"YDR140W,YDR502C,YER043C,YLR180W,YNR046W"
"156584"	"2"	"Cytosolic sulfonation of small molecules"	"小分子胞浆磺化"	"YKL001C,YPR003C"
"156588"	"2"	"Glucuronidation"	"葡萄糖醛酸化"	"YKL035W,YLR189C"
"156590"	"6"	"Glutathione conjugation"	"谷胱甘肽结合"	"YER163C,YFR044C,YJL068C,YKL215C,YLR299W,YOL049W"
"156711"	"3"	"Polo-like kinase mediated events"	"Polo样激酶介导的事件"	"YJL187C,YMR001C,YMR036C"
